exposure,stimType,sentence,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,gender,bildung,ageGroups,MSSGroups,ABNBLGroups
exposure,StimuliGM,Die Autofahrer nehmen die Ausfahrt. Eine davon verpasst sie knapp.,467,850,633,517,550,900,1067,667,667,767,maennlich,sek2,younger,higherSexism,moreNegativeAtt
exposure,StimuliGS,Die Kunstmaler*innen zeichnen die Bäume. Eine davon kann es nicht.,434,1366,784,483,484,584,750,566,501,449,maennlich,sek2,younger,higherSexism,moreNegativeAtt
exposure,StimuliGS,Die Kellner*innen servieren die Teller. Eine davon lässt einen fallen.,700,1068,1216,568,767,616,584,617,467,716,maennlich,sek2,younger,higherSexism,moreNegativeAtt
exposure,StimuliGM,Die Schwimmer trainieren die Arme. Eine davon kann nicht mehr.,534,816,551,550,483,584,500,484,500,500,maennlich,sek2,younger,higherSexism,moreNegativeAtt
exposure,StimuliGS,Die Praktikant*innen essen die Gerichte. Eine davon hat keinen Hunger.,716,1684,651,634,1417,733,633,751,900,1218,maennlich,sek2,younger,higherSexism,moreNegativeAtt
exposure,StimuliGM,Die Spaziergänger laufen die Strecke. Eine davon ist zu langsam.,1250,1584,1318,567,883,567,516,468,483,733,maennlich,sek2,younger,higherSexism,moreNegativeAtt
exposure,StimuliGM,Die Nachbarn essen die Mahlzeit. Eine davon hat keinen Hunger.,951,1616,601,633,1601,617,483,550,468,1966,maennlich,sek2,younger,higherSexism,moreNegativeAtt
exposure,StimuliGS,Die Sänger*innen singen die Lieder. Eine davon singt oft daneben.,516,2885,550,467,516,484,483,566,635,916,maennlich,sek2,younger,higherSexism,moreNegativeAtt
exposure,StimuliGS,Die Geiger*innen spielen die Symphonie. Eine davon spielt falsche Täne.,567,1766,568,433,584,550,567,651,666,917,maennlich,sek2,younger,higherSexism,moreNegativeAtt
exposure,StimuliGM,Die Musiker spielen die Instrumente. Eine davon kann es nicht.,567,684,567,501,1500,683,1184,500,500,684,maennlich,sek2,younger,higherSexism,moreNegativeAtt
exposure,StimuliGM,Die Schauspieler lesen die Texte. Eine davon liest nicht gut.,2184,851,749,601,1000,667,567,517,533,768,maennlich,sek2,younger,higherSexism,moreNegativeAtt
exposure,StimuliGS,Die Athlet*innen rennen die Länge. Eine davon ist zu langsam.,433,1334,600,517,484,900,432,418,383,433,maennlich,sek2,younger,higherSexism,moreNegativeAtt
exposure,StimuliGM,Die Tennisspieler schlagen die Bälle. Eine davon schlägt immer daneben.,784,733,551,466,517,567,517,617,500,533,maennlich,sek2,younger,higherSexism,moreNegativeAtt
exposure,StimuliGS,Die Autor*innen lesen die Bücher. Eine davon will nicht mehr.,483,684,583,434,484,832,502,449,484,700,maennlich,sek2,younger,higherSexism,moreNegativeAtt
exposure,StimuliGM,Die Künstler malen die Bilder. Eine davon malt nicht gut.,499,717,433,451,467,566,434,400,501,1066,maennlich,sek2,younger,higherSexism,moreNegativeAtt
exposure,StimuliGS,Die Zuschauer*innen betrachten die Bühne. Eine davon sieht nicht gut.,382,901,567,450,517,416,401,433,500,450,maennlich,sek2,younger,higherSexism,moreNegativeAtt
exposure,StimuliGS,Die Schüler*innen schreiben die Aufsätze. Eine davon macht viele Fehler.,467,600,517,484,567,616,601,550,533,567,maennlich,sek2,younger,higherSexism,moreNegativeAtt
exposure,StimuliGM,Die Schriftsteller schreiben die Romane. Eine davon mag es nicht.,417,735,482,483,534,551,483,450,500,734,maennlich,sek2,younger,higherSexism,moreNegativeAtt
exposure,StimuliGM,Die Musiker spielen die Instrumente. Eine davon kann es nicht.,1107.8,608.8,458.1,558.4,583.3,600.9,590.7,558.3,533.8,657.8,weiblich,tertiaer,middle aged,middleSexism,middleAtt
exposure,StimuliGS,Die Schüler*innen schreiben die Aufsätze. Eine davon macht viele Fehler.,741.1,1024,733.4,588.5,837.8,619.7,598.8,637,1223.8,1642.7,weiblich,tertiaer,middle aged,middleSexism,middleAtt
exposure,StimuliGM,Die Autofahrer nehmen die Ausfahrt. Eine davon verpasst sie knapp.,650,803.3,675.3,563.1,1436.4,896.9,656.5,833.1,490.4,3000,weiblich,tertiaer,middle aged,middleSexism,middleAtt
exposure,StimuliGS,Die Praktikant*innen essen die Gerichte. Eine davon hat keinen Hunger.,100,1448.9,693.2,453.1,575.1,973.2,806.5,470.1,706.2,1977.2,weiblich,tertiaer,middle aged,middleSexism,middleAtt
exposure,StimuliGS,Die Athlet*innen rennen die Länge. Eine davon ist zu langsam.,1760.8,538.3,1270.8,492.6,479.1,485.5,443.5,450.1,488.1,1119,weiblich,tertiaer,middle aged,middleSexism,middleAtt
exposure,StimuliGM,Die Schriftsteller schreiben die Romane. Eine davon mag es nicht.,258.1,907.6,628.7,746.5,537.7,529,524.3,516.9,470.8,1326.9,weiblich,tertiaer,middle aged,middleSexism,middleAtt
exposure,StimuliGM,Die Schauspieler lesen die Texte. Eine davon liest nicht gut.,404.8,557,457.8,409.1,445.6,462.5,580.9,481.2,433.4,458.3,weiblich,tertiaer,middle aged,middleSexism,middleAtt
exposure,StimuliGS,Die Kunstmaler*innen zeichnen die Bäume. Eine davon kann es nicht.,1325.1,2141.9,633,664.8,727.1,640.9,517.2,554.3,1124.2,1129.2,weiblich,tertiaer,middle aged,middleSexism,middleAtt
exposure,StimuliGS,Die Geiger*innen spielen die Symphonie. Eine davon spielt falsche Täne.,917.2,1112.6,466.5,523.9,851.7,457.7,483.5,482.4,768.3,1216.2,weiblich,tertiaer,middle aged,middleSexism,middleAtt
exposure,StimuliGM,Die Schwimmer trainieren die Arme. Eine davon kann nicht mehr.,859.1,671.1,700.1,441.4,466.1,619.4,464.9,433.1,391.5,417,weiblich,tertiaer,middle aged,middleSexism,middleAtt
